word,tfidf
воздух,0.22083759869678532
вместе,0.21949911559814383
вновь,0.21900886009177037
весна,0.2178310292093514
сидеть,0.21495080643388315
облако,0.21384967436207802
вернуться,0.2135659420296444
рад,0.2111796580209429
странный,0.21087336439905943
порог,0.21087336439905943
обернуться,0.21087336439905943
мир,0.20946699616216868
самый,0.20908527304790736
группа,0.20700218489924224
лежать,0.20613037600656228
понять,0.20537381630110535
ненавидеть,0.2038914415196169
братец,0.20168784277300217
мчать,0.20066347081865582
значить,0.20056716715784595
кресло,0.20054770457540277
улыбаться,0.1997501806703414
конец,0.19953724590158484
чай,0.19776051144241785
план,0.19665706482956627
газ,0.19665706482956627
туман,0.19611442090595177
брат,0.19486066436416144
окошко,0.19340325460233698
сквозь,0.19276616641933186
любой,0.19188818312416064
